Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
76.535,53.785,55.588,56.542
76.535,53.785,55.859,56.828
77.118,54.054,56.135,56.828
77.118,54.332,56.135,57.125
77.72,54.332,56.423,57.426
78.327,54.614,56.423,57.426
78.327,54.903,56.72,57.739
78.945,54.906,57.024,57.739
79.482,55.195,57.024,58.056
79.579,55.195,57.33,58.385
80.209,55.502,57.33,58.385
80.209,55.807,57.651,58.714
80.855,55.807,57.965,58.714
81.506,56.114,57.965,59.047
81.506,56.114,58.287,59.381
82.163,56.428,58.602,59.381
82.163,56.738,58.614,59.727
82.822,56.738,58.94,60.035
83.487,57.057,58.94,60.07
83.487,57.057,59.274,60.411
84.161,57.374,59.606,60.411
84.161,57.693,59.606,60.757
84.831,57.693,59.939,61.106
85.505,58.011,59.939,61.106
85.505,58.316,60.271,61.458
86.19,58.337,60.607,61.458
86.745,58.654,60.607,61.807
86.886,58.654,60.948,62.161
87.557,58.98,60.948,62.161
87.557,59.303,61.286,62.515
88.25,59.303,61.624,62.515
88.942,59.629,61.624,62.871
88.942,59.629,61.964,63.221
89.638,59.953,62.284,63.221
89.638,60.28,62.306,63.582
90.349,60.28,62.649,63.883
91.048,60.611,62.649,63.94
91.048,60.611,62.989,64.296
91.756,60.936,63.329,64.296
91.756,61.261,63.329,64.648
92.467,61.261,63.672,65.008
93.178,61.592,63.672,65.008
93.178,61.88,64.017,65.366
93.895,61.92,64.358,65.366
94.359,62.249,64.358,65.728
94.624,62.249,64.704,66.089
95.342,62.583,64.704,66.089
95.342,62.915,65.053,66.449
96.07,62.915,65.397,66.449
96.798,63.24,65.397,66.81
96.798,63.24,65.746,67.169
97.538,63.573,66.076,67.169
97.538,63.91,66.099,67.536
98.28,63.91,66.445,67.807
99.02,64.235,66.445,67.901
99.02,64.235,66.795,68.267
99.77,64.576,67.145,68.267
99.77,64.908,67.145,68.631
100.525,64.908,67.498,69.001
101.285,65.246,67.498,69.001
101.285,65.545,67.853,69.37
102.052,65.59,68.205,69.37
102.052,65.921,68.205,69.743
102.832,65.921,68.561,70.113
