Time (s),Temp1 (Ohm),Temp2 (Ohm),Maybe Temp 3 (Ohm),Pressure (Torr),Temp (Ohm) (X58257)
176.23270000000002,3.33254,5.298,3.8438,179.646,72.009
177.6157,3.33254,5.2982,3.8438,174.148,72.009
178.9287,3.33254,5.298,3.8438,168.856,72.009
180.2817,3.33254,5.2978,3.8438,163.425,72.009
181.5727,3.33254,5.2978,3.8438,158.995,72.009
182.89370000000002,3.33254,5.2978,3.8438,152.904,72.009
184.1617,3.33254,5.2978,3.83442,148.52,72.009
185.3797,3.33254,5.2978,3.83712,142.49,72.009
186.72570000000002,3.33254,5.2978,3.83815,134.612,72.009
188.08769999999998,3.33254,5.2978,3.83975,127.668,72.009
189.35070000000002,3.33254,5.2978,3.84016,120.981,72.009
190.7027,3.33254,5.2978,3.84043,115.102,72.009
192.0147,3.33254,5.2978,3.84057,109.787,72.009
193.37470000000002,3.33254,5.2978,3.84059,104.677,72.009
194.69369999999998,3.33254,5.2978,3.84059,99.6898,72.009
195.9647,3.33254,5.2978,3.84059,95.5467,72.02
197.26369999999997,3.33254,5.2978,3.84059,91.387,72.062
198.61470000000003,3.33254,5.2978,3.84059,87.6699,72.068
199.89170000000001,3.33254,5.2978,3.84059,83.8594,72.069
201.35070000000002,3.33254,5.2978,3.84059,80.1954,72.07
202.72770000000003,3.33254,5.2978,3.84059,76.5984,72.07
204.0937,3.33254,5.2978,3.84059,73.3926,72.07
205.44869999999997,3.327,5.2978,3.84059,70.3802,72.07
206.80970000000002,3.32821,5.2978,3.84059,67.2898,72.07
208.20370000000003,3.32928,5.2978,3.84059,64.7021,72.07
209.48970000000003,3.32983,5.2978,3.84059,62.0415,72.07
210.87670000000003,3.33006,5.2978,3.84059,59.5091,72.07
212.2097,3.33015,5.2978,3.84059,57.2598,72.07
213.5217,3.33021,5.2978,3.84059,55.2524,72.07
214.8947,3.33021,5.2978,3.84059,52.8062,72.07
216.25670000000002,3.33021,5.2904,3.84059,50.9431,72.07
