Time (s),Temp (Ohm) (Barrel Type 1),Temp (Ohm) (Barrel Type 2),Pressure (Torr),Temp (Ohm) (X58257)
14138.1,4.44261,3.24386,0.211503,109.722
14139.5,4.44034,3.24386,0.212137,109.722
14140.7,4.44278,3.24386,0.211649,109.722
14142.0,4.44348,3.24386,0.212104,109.722
14143.3,4.44398,3.24386,0.212284,109.722
14144.9,4.44422,3.24386,0.211665,109.722
14146.2,4.44422,3.24386,0.212056,109.722
14147.5,4.44422,3.24386,0.212333,109.722
14148.8,4.44422,3.24349,0.212121,109.722
14150.2,4.44422,3.24408,0.212007,109.722
14151.5,4.44422,3.24455,0.211698,109.722
14152.8,4.44422,3.24473,0.211942,109.722
14154.3,4.44422,3.24483,0.212186,109.722
14155.5,4.44422,3.24493,0.211763,109.722
14156.8,4.44422,3.24499,0.21235,109.722
14158.2,4.44422,3.24499,0.212316,109.722
14159.5,4.44422,3.24499,0.212105,109.722
14160.8,4.44422,3.24499,0.212088,109.48
14162.1,4.44422,3.24499,0.212463,109.467
14163.5,4.44422,3.24499,0.211828,109.489
14164.8,4.44422,3.24499,0.21212,109.467
14166.0,4.44422,3.24499,0.212169,109.46
14167.3,4.44422,3.24499,0.212366,109.46
14168.6,4.44038,3.24499,0.212773,109.46
14170.0,4.44396,3.24499,0.211829,109.46
14171.2,4.44473,3.24499,0.211909,109.46
14172.5,4.44515,3.24499,0.212431,109.46
14173.9,4.44546,3.24499,0.211877,109.46
14175.2,4.44546,3.24499,0.212104,109.46
14176.4,4.44546,3.24499,0.212464,109.46
14177.7,4.44546,3.24387,0.212267,109.46
14179.0,4.44546,3.24486,0.212578,109.46
14180.4,4.44546,3.2453,0.21217,109.46
14181.8,4.44546,3.24581,0.211843,109.46
14183.2,4.44546,3.24597,0.212871,109.46
14184.6,4.44546,3.24604,0.211714,109.46
14185.9,4.44546,3.24606,0.212398,109.46
14187.2,4.44546,3.24606,0.212692,109.46
14188.5,4.44546,3.24606,0.212055,109.46
14189.8,4.44546,3.24606,0.211991,109.23
14191.2,4.44546,3.24606,0.212529,109.237
14192.5,4.44546,3.24606,0.212008,109.215
14193.8,4.44546,3.24606,0.213002,109.229
14195.3,4.44546,3.24606,0.212577,109.232
14196.6,4.44546,3.24606,0.212725,109.232
14198.0,4.44261,3.24606,0.212366,109.232
14199.5,4.44561,3.24606,0.212626,109.232
14200.9,4.44654,3.24606,0.212545,109.232
14202.4,4.44678,3.24606,0.212414,109.232
14203.7,4.44679,3.24606,0.212529,109.232
14204.9,4.44679,3.24606,0.212856,109.232
14206.2,4.44679,3.24606,0.21292,109.232
14207.5,4.44679,3.24529,0.212773,109.232
14208.8,4.44679,3.246,0.213002,109.232
14210.1,4.44679,3.24658,0.212789,109.232
14211.5,4.44679,3.24695,0.21297,109.232
14212.9,4.44679,3.24706,0.21297,109.232
14214.2,4.44679,3.24707,0.212806,109.232
