Time (s),Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
1531.64,71.267,51.85,53.849,54.599
1541.64,71.272,51.85,53.85,54.599
1551.64,71.271,51.853,53.85,54.598
1561.64,71.271,51.853,53.85,54.597
1571.64,71.277,51.851,53.85,54.597
1581.64,71.277,51.85,53.85,54.599
1591.64,71.278,51.85,53.848,54.597
1601.64,71.278,51.85,53.848,54.601
1611.64,71.278,51.787,53.85,54.598
1621.64,71.276,51.854,53.851,54.598
1631.64,71.276,51.853,53.851,54.601
1641.64,71.279,51.853,53.849,54.601
1651.64,71.273,51.85,53.849,54.601
1661.65,71.273,51.851,53.852,54.599
1671.65,71.279,51.851,53.85,54.599
1681.65,71.254,51.852,53.85,54.599
1691.65,71.278,51.852,53.851,54.599
1701.65,71.276,51.853,53.81,54.599
1711.65,71.276,51.853,53.851,54.599
1721.65,71.282,51.853,53.853,54.599
1731.65,71.277,51.857,53.853,54.601
1741.65,71.277,51.857,53.851,54.604
1751.65,71.28,51.855,53.855,54.604
1761.65,71.28,51.855,53.855,54.602
1771.65,71.322,51.855,53.854,54.602
1781.65,71.487,51.87,53.854,54.609
1791.65,71.487,51.823,53.876,54.638
1801.65,71.748,51.916,53.919,54.638
1811.65,71.748,51.994,53.919,54.703
1821.65,72.079,51.994,54.002,54.803
1831.65,72.463,52.104,54.002,54.803
1841.65,72.463,52.247,54.118,54.943
1851.65,72.89,52.247,54.266,54.943
1861.65,73.304,52.416,54.266,55.112
1871.65,73.343,52.416,54.439,55.303
1881.65,73.817,52.605,54.58,55.303
1891.65,73.817,52.816,54.636,55.52
1901.65,74.335,52.816,54.851,55.52
1911.65,74.856,53.044,54.851,55.752
1921.65,74.856,53.044,55.081,56.0
1931.65,75.394,53.277,55.326,56.0
1941.65,75.394,53.524,55.326,56.263
1951.65,75.962,53.524,55.588,56.523
1961.65,76.535,53.785,55.588,56.542
1971.65,76.535,53.785,55.859,56.828
1981.65,77.118,54.054,56.135,56.828
1991.65,77.118,54.332,56.135,57.125
2001.65,77.72,54.332,56.423,57.426
2011.65,78.327,54.614,56.423,57.426
2021.65,78.327,54.903,56.72,57.739
2031.65,78.945,54.906,57.024,57.739
2041.65,79.482,55.195,57.024,58.056
2051.65,79.579,55.195,57.33,58.385
2061.65,80.209,55.502,57.33,58.385
2071.65,80.209,55.807,57.651,58.714
2081.65,80.855,55.807,57.965,58.714
2091.65,81.506,56.114,57.965,59.047
2101.65,81.506,56.114,58.287,59.381
2111.65,82.163,56.428,58.602,59.381
2121.65,82.163,56.738,58.614,59.727
2131.65,82.822,56.738,58.94,60.035
2141.66,83.487,57.057,58.94,60.07
2151.66,83.487,57.057,59.274,60.411
2161.66,84.161,57.374,59.606,60.411
2171.66,84.161,57.693,59.606,60.757
2181.66,84.831,57.693,59.939,61.106
2191.66,85.505,58.011,59.939,61.106
2201.66,85.505,58.316,60.271,61.458
2211.66,86.19,58.337,60.607,61.458
2221.66,86.745,58.654,60.607,61.807
2231.66,86.886,58.654,60.948,62.161
2241.66,87.557,58.98,60.948,62.161
2251.66,87.557,59.303,61.286,62.515
2261.66,88.25,59.303,61.624,62.515
2271.66,88.942,59.629,61.624,62.871
2281.66,88.942,59.629,61.964,63.221
2291.66,89.638,59.953,62.284,63.221
2301.66,89.638,60.28,62.306,63.582
2311.66,90.349,60.28,62.649,63.883
2321.66,91.048,60.611,62.649,63.94
2331.66,91.048,60.611,62.989,64.296
2341.66,91.756,60.936,63.329,64.296
2351.66,91.756,61.261,63.329,64.648
2361.66,92.467,61.261,63.672,65.008
2371.66,93.178,61.592,63.672,65.008
2381.66,93.178,61.88,64.017,65.366
2391.66,93.895,61.92,64.358,65.366
2401.66,94.359,62.249,64.358,65.728
2411.66,94.624,62.249,64.704,66.089
2421.66,95.342,62.583,64.704,66.089
2431.66,95.342,62.915,65.053,66.449
2441.66,96.07,62.915,65.397,66.449
2451.66,96.798,63.24,65.397,66.81
2461.66,96.798,63.24,65.746,67.169
2471.66,97.538,63.573,66.076,67.169
2481.66,97.538,63.91,66.099,67.536
2491.66,98.28,63.91,66.445,67.807
2501.66,99.02,64.235,66.445,67.901
2511.66,99.02,64.235,66.795,68.267
2521.66,99.77,64.576,67.145,68.267
2531.66,99.77,64.908,67.145,68.631
2541.66,100.525,64.908,67.498,69.001
2551.66,101.285,65.246,67.498,69.001
2561.66,101.285,65.545,67.853,69.37
2571.66,102.052,65.59,68.205,69.37
2581.66,102.052,65.921,68.205,69.743
2591.66,102.832,65.921,68.561,70.113
2601.66,103.601,66.263,68.561,70.113
2611.66,103.601,66.608,68.919,70.483
2621.66,104.389,66.608,69.28,70.483
2631.66,105.176,66.949,69.28,70.862
2641.66,105.176,66.949,69.64,71.239
2651.66,105.977,67.293,69.988,71.239
2661.66,105.977,67.646,70.005,71.618
2671.66,106.795,67.646,70.369,71.931
2681.66,107.612,67.995,70.369,72.005
2691.66,107.612,67.995,70.74,72.391
2701.66,108.44,68.351,71.11,72.391
2711.66,108.44,68.704,71.11,72.774
2721.66,109.279,68.704,71.485,73.172
2731.66,110.124,69.06,71.485,73.172
2741.66,110.124,69.386,71.863,73.562
2751.66,110.993,69.431,72.242,73.562
2761.66,110.993,69.794,72.242,73.966
2771.66,111.879,69.794,72.627,74.367
2781.66,112.764,70.164,72.627,74.367
2791.66,112.764,70.538,73.018,74.778
2801.66,113.659,70.538,73.41,74.778
2811.66,114.563,70.917,73.41,75.189
2821.66,114.583,70.917,73.81,75.609
2831.66,115.516,71.3,74.187,75.609
2841.66,115.516,71.689,74.218,76.035
2851.66,116.483,71.689,74.621,76.36
2861.66,117.461,72.088,74.621,76.469
2871.66,117.461,72.088,75.04,76.901
2881.66,118.455,72.488,75.46,76.901
2891.66,118.455,72.895,75.46,77.351
2901.66,119.481,72.895,75.891,77.803
2911.66,120.53,73.311,75.891,77.803
2921.66,120.53,73.69,76.335,78.262
2931.66,121.604,73.741,76.783,78.262
2941.66,121.604,74.173,76.783,78.739
2951.66,122.723,74.173,77.239,79.22
2961.66,123.859,74.619,77.239,79.22
2971.66,123.859,75.072,77.712,79.71
2981.66,125.034,75.072,78.194,79.71
2991.67,126.247,75.538,78.194,80.222
3001.67,126.247,75.538,78.683,80.743
3011.67,127.494,76.018,79.141,80.743
3021.67,127.494,76.51,79.198,81.283
3031.67,128.807,76.51,79.712,81.696
3041.67,130.158,77.023,79.712,81.838
3051.67,130.158,77.023,80.256,82.397
3061.67,131.562,77.549,80.802,82.397
3071.67,131.562,78.085,80.802,82.988
3081.67,133.033,78.085,81.379,83.594
3091.67,134.548,78.644,81.379,83.594
3101.67,134.548,79.113,81.972,84.217
3111.67,136.125,79.221,82.582,84.217
3121.67,136.125,79.818,82.582,84.869
3131.67,137.813,79.818,83.224,85.545
3141.67,139.53,80.447,83.224,85.545
3151.67,139.53,81.089,83.88,86.242
3161.67,141.351,81.089,84.567,86.242
3171.67,143.254,81.766,84.567,86.975
3181.67,143.274,81.766,85.282,87.741
3191.67,145.299,82.471,86.006,87.741
3201.67,145.299,83.212,86.037,88.533
3211.67,147.439,83.212,86.815,89.198
3221.67,149.708,83.984,86.815,89.374
3231.67,149.708,83.984,87.644,90.245
3241.67,152.121,84.802,88.506,90.245
3251.67,152.121,85.645,88.506,91.163
3261.67,154.674,85.645,89.414,92.136
3271.67,157.397,86.554,89.414,92.136
3281.67,157.397,87.396,90.377,93.165
3291.67,160.302,87.509,91.39,93.165
3301.67,160.302,88.513,91.39,94.255
3311.67,163.444,88.513,92.471,95.407
3321.68,166.759,89.58,92.471,95.407
3331.68,166.759,90.713,93.62,96.636
3341.68,170.335,90.713,94.826,96.636
3351.68,174.078,91.911,94.826,97.933
3361.68,174.178,91.911,96.121,99.314
3371.68,178.312,93.206,97.387,99.314
3381.68,178.312,94.561,97.503,100.796
3391.68,182.781,94.561,98.963,102.085
3401.68,187.606,96.027,98.963,102.375
3411.68,187.606,96.027,100.536,104.053
3421.68,192.814,97.59,102.215,104.053
3431.68,192.814,99.254,102.215,105.86
3441.68,198.503,99.254,104.024,107.781
3451.68,203.799,101.063,104.024,107.807
3461.68,206.222,101.063,106.324,110.302
3471.68,213.051,103.375,106.324,110.302
3481.68,213.051,105.462,108.451,112.597
3491.68,220.615,105.483,110.765,112.597
3501.68,228.788,107.8,110.765,115.093
3511.68,228.998,107.8,113.294,117.819
3521.68,238.289,110.313,115.763,117.819
3531.68,238.289,113.073,116.061,120.803
3541.68,248.787,113.073,119.117,120.803
3551.68,260.599,116.147,119.117,124.14
3561.68,260.599,116.147,122.508,127.821
3571.68,274.183,119.573,126.343,127.821
3581.68,274.183,123.469,126.343,132.03
3591.68,290.109,123.469,130.76,136.715
3601.68,309.073,127.961,130.76,136.878
3611.68,309.073,127.961,135.911,142.517
3621.68,332.257,133.295,142.11,142.517
3631.68,332.257,139.679,142.11,149.406
3641.68,361.413,139.679,149.754,157.989
3651.68,400.043,147.793,149.754,157.989
3661.68,400.043,158.259,159.725,169.312
3671.68,454.975,158.578,173.394,169.312
3681.68,535.29,173.702,173.394,185.127
3691.68,539.383,173.702,193.316,206.141
3701.68,701.33,201.015,193.316,213.987
3711.68,753.59,201.015,242.105,213.987
3721.68,753.59,241.943,242.318,262.984
3731.68,1085.12,250.38,280.739,262.984
3741.68,1085.12,275.543,280.739,301.609
3751.68,1308.07,275.543,303.739,324.635
3761.68,1489.23,293.824,303.739,324.635
3771.68,1489.23,305.47,320.322,340.883
3781.68,1617.7,306.13,331.355,340.883
3791.68,1704.8,314.27,331.355,351.884
3801.68,1705.44,314.27,338.709,359.493
3811.68,1770.93,319.948,338.709,359.493
3821.68,1770.93,323.967,343.612,364.661
3831.68,1820.64,323.967,347.064,364.661
3841.68,1859.1,327.235,347.064,368.502
3851.68,1859.1,327.235,349.788,371.391
3861.68,1891.58,329.637,352.035,371.391
3871.68,1891.58,331.457,351.915,373.486
3881.68,1917.49,331.457,353.671,374.804
3891.68,1935.63,332.736,353.671,375.28
3901.68,1935.63,332.736,355.194,376.792
3911.68,1950.2,333.892,356.3,376.792
3921.68,1950.2,334.827,356.3,378.113
3931.68,1960.92,334.827,357.262,379.102
3941.68,1971.12,335.617,357.262,379.102
3951.68,1971.12,336.088,357.988,379.942
3961.68,1979.98,336.312,358.565,379.942
3971.68,1979.98,336.907,358.565,380.715
3981.68,1990.0,336.907,359.012,381.259
3991.68,1997.43,337.525,359.012,381.259
4001.68,1997.43,337.928,359.481,381.697
4011.68,2003.43,337.928,359.888,381.697
4021.68,2008.41,338.248,359.888,382.097
4031.68,2008.58,338.248,360.299,382.485
4041.69,2012.83,338.517,360.56,382.485
4051.69,2012.83,338.74,360.697,382.84
4061.69,2014.98,338.74,360.983,382.84
4071.69,2017.57,338.941,360.983,383.224
4081.69,2017.57,338.941,361.205,383.476
4091.69,2019.89,339.204,361.393,383.476
4101.69,2019.89,339.375,361.393,383.767
4111.69,2022.78,339.375,361.552,383.983
4121.69,2025.36,339.619,361.552,383.983
4131.69,2025.36,339.465,361.638,384.076
4141.69,2029.36,339.801,361.753,384.076
4151.69,2029.36,339.899,361.753,384.145
4161.69,2029.58,339.899,361.929,384.145
4171.69,2030.85,339.897,361.929,384.36
4181.69,2032.47,339.897,362.022,384.559
4191.69,2034.5,340.088,362.022,384.559
4201.69,2034.5,340.294,362.138,384.742
4211.69,2037.35,340.294,362.28,384.742
4221.69,2041.09,340.511,362.28,384.923
4231.69,2041.09,340.511,362.426,385.095
4241.69,2044.63,340.702,362.633,385.095
4251.69,2044.63,340.87,362.669,385.278
4261.69,2047.36,340.87,362.964,385.354
4271.69,2049.64,341.021,362.964,385.57
4281.69,2049.64,341.021,363.222,385.857
4291.69,2051.7,341.221,363.425,385.857
4301.69,2051.7,341.417,363.425,386.141
4311.69,2054.33,341.417,363.601,386.387
4321.69,2057.11,341.63,363.601,386.387
4331.69,2057.11,341.733,363.769,386.608
4341.69,2060.51,341.879,363.887,386.608
4351.69,2059.25,342.043,363.887,386.751
4361.69,2063.75,342.043,364.05,386.874
4371.69,2065.92,342.168,364.05,386.874
4381.69,2065.92,342.297,364.238,387.03
4391.69,2067.5,342.297,364.385,387.03
4401.69,2069.08,342.374,364.385,387.204
4411.69,2069.08,342.374,364.544,387.358
4421.69,2070.08,342.525,364.504,387.358
4431.69,2070.08,342.625,364.72,387.584
4441.69,2071.71,342.625,364.814,387.262
4451.69,2073.52,342.773,364.814,387.763
