Time (s),Temp (Ohm) (X????1),Temp (Ohm) (X58257),Temp (Ohm) (X????2),Pressure (Torr),col11
1121.63,51.873,71.295,53.874,0.741564,54.622
1131.63,51.873,71.293,53.874,0.566261,54.622
1141.63,51.868,71.281,53.874,0.43707,54.621
1151.63,51.868,71.291,53.871,0.340762,54.616
1161.63,51.868,71.287,53.836,0.269309,54.616
1171.63,51.865,71.287,53.869,0.215817,54.61
1181.63,51.865,71.281,53.863,0.175194,54.61
1191.63,51.861,71.28,53.863,0.144716,54.613
1201.63,51.861,71.28,53.861,0.121194,54.61
1211.63,51.861,71.279,53.859,0.103161,54.61
1221.63,51.855,71.279,53.859,0.0893821,54.605
1231.63,51.855,71.277,53.856,0.078581,54.604
1241.63,51.857,71.274,53.856,0.0700247,54.608
1251.63,51.792,71.274,53.857,0.0636529,54.605
1261.63,51.857,71.27,53.852,0.0584096,54.605
1271.63,51.855,71.27,53.852,0.0543691,54.604
1281.63,51.855,71.277,53.851,0.050931,54.603
1291.63,51.852,71.272,53.851,0.0481967,54.603
1301.63,51.851,71.272,53.851,0.0459322,54.6
1311.63,51.851,71.276,53.851,0.0439796,54.6
1321.63,51.851,71.261,53.851,0.0421973,54.6
1331.63,51.851,71.271,53.851,0.0407708,54.6
1341.63,51.852,71.273,53.813,0.039508,54.6
1351.64,51.849,71.273,53.852,0.0382254,54.597
1361.64,51.849,71.27,53.85,0.0370495,54.597
1371.64,51.852,71.271,53.85,0.0362035,54.6
1381.64,51.852,71.271,53.847,0.0351359,54.593
1391.64,51.853,71.274,53.85,0.0343465,54.593
1401.64,51.848,71.274,53.85,0.0335109,54.595
1411.64,51.848,71.274,53.846,0.0327629,54.597
1421.64,51.848,71.273,53.846,0.0319952,54.602
1431.64,51.782,71.273,53.845,0.0313124,54.595
1441.64,51.851,71.271,53.849,0.0307151,54.595
1451.64,51.851,71.271,53.849,0.0301197,54.6
1461.64,51.851,71.273,53.851,0.0295632,54.596
1471.64,51.849,71.27,53.851,0.0290592,54.596
1481.64,51.85,71.27,53.845,0.0285551,54.595
1491.64,51.85,71.274,53.847,0.0279759,54.595
1501.64,51.851,71.248,53.847,0.0275476,54.6
1511.64,51.851,71.271,53.845,0.0270905,54.595
1521.64,51.85,71.267,53.802,0.0266145,54.595
1531.64,51.85,71.267,53.849,0.0262331,54.599
1541.64,51.85,71.272,53.85,0.0258535,54.599
1551.64,51.853,71.271,53.85,0.0254616,54.598
1561.64,51.853,71.271,53.85,0.025087,54.597
1571.64,51.851,71.277,53.85,0.0246804,54.597
1581.64,51.85,71.277,53.85,0.0243566,54.599
1591.64,51.85,71.278,53.848,0.0240778,54.597
1601.64,51.85,71.278,53.848,0.0236911,54.601
1611.64,51.787,71.278,53.85,0.0233678,54.598
1621.64,51.854,71.276,53.851,0.0231517,54.598
1631.64,51.853,71.276,53.851,0.0228218,54.601
1641.64,51.853,71.279,53.849,0.022469,54.601
1651.64,51.85,71.273,53.849,0.0222135,54.601
1661.65,51.851,71.273,53.852,0.0219408,54.599
1671.65,51.851,71.279,53.85,0.0217063,54.599
1681.65,51.852,71.254,53.85,0.0214445,54.599
1691.65,51.852,71.278,53.851,0.0211731,54.599
1701.65,51.853,71.276,53.81,0.020966,54.599
1711.65,51.853,71.276,53.851,0.0207071,54.599
1721.65,51.853,71.282,53.853,0.020544,54.599
1731.65,51.857,71.277,53.853,0.0203353,54.601
1741.65,51.857,71.277,53.851,0.0200656,54.604
1751.65,51.855,71.28,53.855,0.0198405,54.604
1761.65,51.855,71.28,53.855,0.0196389,54.602
1771.65,51.855,71.322,53.854,0.0194573,54.602
1781.65,51.87,71.487,53.854,0.0192834,54.609
1791.65,51.823,71.487,53.876,0.0190466,54.638
1801.65,51.916,71.748,53.919,0.0188778,54.638
1811.65,51.994,71.748,53.919,0.018696,54.703
1821.65,51.994,72.079,54.002,0.018502,54.803
1831.65,52.104,72.463,54.002,0.0183492,54.803
1841.65,52.247,72.463,54.118,0.0181518,54.943
1851.65,52.247,72.89,54.266,0.0179274,54.943
1861.65,52.416,73.304,54.266,0.017834,55.112
1871.65,52.416,73.343,54.439,0.0176503,55.303
1881.65,52.605,73.817,54.58,0.0174669,55.303
1891.65,52.816,73.817,54.636,0.0173373,55.52
1901.65,52.816,74.335,54.851,0.0171297,55.52
1911.65,53.044,74.856,54.851,0.0170209,55.752
1921.65,53.044,74.856,55.081,0.0168986,56.0
1931.65,53.277,75.394,55.326,0.0167257,56.0
1941.65,53.524,75.394,55.326,0.0165622,56.263
1951.65,53.524,75.962,55.588,0.01635,56.523
1961.65,53.785,76.535,55.588,0.0136736,56.542
1971.65,53.785,76.535,55.859,0.0111691,56.828
1981.65,54.054,77.118,56.135,0.00863809,56.828
1991.65,54.332,77.118,56.135,0.00670994,57.125
2001.65,54.332,77.72,56.423,0.00515961,57.426
2011.65,54.614,78.327,56.423,0.00397177,57.426
2021.65,54.903,78.327,56.72,0.002962,57.739
2031.65,54.906,78.945,57.024,0.00222186,57.739
2041.65,55.195,79.482,57.024,0.00163764,58.056
2051.65,55.195,79.579,57.33,0.0011105,58.385
2061.65,55.502,80.209,57.33,0.000804731,58.385
2071.65,55.807,80.209,57.651,0.000505496,58.714
2081.65,55.807,80.855,57.965,0.000273811,58.714
2091.65,56.114,81.506,57.965,0.000103757,59.047
2101.65,56.114,81.506,58.287,0.00010406,59.381
2111.65,56.428,82.163,58.602,0.00010398,59.381
2121.65,56.738,82.163,58.614,0.000103972,59.727
2131.65,56.738,82.822,58.94,0.000103861,60.035
2141.66,57.057,83.487,58.94,0.000104052,60.07
2151.66,57.057,83.487,59.274,0.000104028,60.411
2161.66,57.374,84.161,59.606,0.00010398,60.411
2171.66,57.693,84.161,59.606,0.000103725,60.757
2181.66,57.693,84.831,59.939,0.0001039,61.106
2191.66,58.011,85.505,59.939,0.000104028,61.106
2201.66,58.316,85.505,60.271,0.000103948,61.458
2211.66,58.337,86.19,60.607,0.000103924,61.458
2221.66,58.654,86.745,60.607,0.000104124,61.807
2231.66,58.654,86.886,60.948,0.000103845,62.161
2241.66,58.98,87.557,60.948,0.000103916,62.161
2251.66,59.303,87.557,61.286,0.000104044,62.515
2261.66,59.303,88.25,61.624,0.00010406,62.515
2271.66,59.629,88.942,61.624,0.000103893,62.871
2281.66,59.629,88.942,61.964,0.000103948,63.221
2291.66,59.953,89.638,62.284,0.000104156,63.221
2301.66,60.28,89.638,62.306,0.000103893,63.582
2311.66,60.28,90.349,62.649,0.000104068,63.883
2321.66,60.611,91.048,62.649,0.000103845,63.94
2331.66,60.611,91.048,62.989,0.000103996,64.296
2341.66,60.936,91.756,63.329,0.000103932,64.296
2351.66,61.261,91.756,63.329,0.000104068,64.648
2361.66,61.261,92.467,63.672,0.000104028,65.008
2371.66,61.592,93.178,63.672,0.000104124,65.008
2381.66,61.88,93.178,64.017,0.000104084,65.366
2391.66,61.92,93.895,64.358,0.000103845,65.366
2401.66,62.249,94.359,64.358,0.000104156,65.728
2411.66,62.249,94.624,64.704,0.000104004,66.089
2421.66,62.583,95.342,64.704,0.000104084,66.089
2431.66,62.915,95.342,65.053,0.000103908,66.449
2441.66,62.915,96.07,65.397,0.000103924,66.449
2451.66,63.24,96.798,65.397,0.000104124,66.81
2461.66,63.24,96.798,65.746,0.000103988,67.169
2471.66,63.573,97.538,66.076,0.000104052,67.169
2481.66,63.91,97.538,66.099,0.00010394,67.536
2491.66,63.91,98.28,66.445,0.000103972,67.807
2501.66,64.235,99.02,66.445,0.000104148,67.901
2511.66,64.235,99.02,66.795,0.000103948,68.267
2521.66,64.576,99.77,67.145,0.00010418,68.267
2531.66,64.908,99.77,67.145,0.000104036,68.631
2541.66,64.908,100.525,67.498,0.000104068,69.001
2551.66,65.246,101.285,67.498,0.000103837,69.001
2561.66,65.545,101.285,67.853,0.000104092,69.37
2571.66,65.59,102.052,68.205,0.000103869,69.37
2581.66,65.921,102.052,68.205,0.000103861,69.743
2591.66,65.921,102.832,68.561,0.000103877,70.113
2601.66,66.263,103.601,68.561,0.000103916,70.113
2611.66,66.608,103.601,68.919,0.000103893,70.483
2621.66,66.608,104.389,69.28,0.000104044,70.483
2631.66,66.949,105.176,69.28,0.000104076,70.862
2641.66,66.949,105.176,69.64,0.000103789,71.239
2651.66,67.293,105.977,69.988,0.000103829,71.239
2661.66,67.646,105.977,70.005,0.0001039,71.618
2671.66,67.646,106.795,70.369,0.000104084,71.931
2681.66,67.995,107.612,70.369,0.000104068,72.005
2691.66,67.995,107.612,70.74,0.000103956,72.391
2701.66,68.351,108.44,71.11,0.000103956,72.391
2711.66,68.704,108.44,71.11,0.000103916,72.774
