Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   4.000   9.105844E+03   -3.914969E+03   -1.7198E+00
   4.200   8.382105E+03   -3.343954E+03   -1.6755E+00
   4.400   7.760848E+03   -2.884362E+03   -1.6353E+00
   4.600   7.222701E+03   -2.509820E+03   -1.5985E+00
   4.800   6.752377E+03   -2.203062E+03   -1.5661E+00
   5.000   6.338112E+03   -1.947202E+03   -1.5361E+00
   5.200   5.970735E+03   -1.732573E+03   -1.5089E+00
   5.400   5.642951E+03   -1.550142E+03   -1.4834E+00
   5.600   5.348880E+03   -1.394716E+03   -1.4602E+00
   5.800   5.083637E+03   -1.260835E+03   -1.4385E+00
   6.000   4.843383E+03   -1.144411E+03   -1.4177E+00
   6.500   4.331829E+03   -9.144850E+02   -1.3722E+00
   7.000   3.918848E+03   -7.458849E+02   -1.3323E+00
   7.500   3.578873E+03   -6.195697E+02   -1.2984E+00
   8.000   3.294486E+03   -5.221797E+02   -1.2680E+00
   8.500   3.053096E+03   -4.462572E+02   -1.2424E+00
   9.000   2.845711E+03   -3.855310E+02   -1.2193E+00
   9.500   2.665592E+03   -3.365714E+02   -1.1995E+00
  10.000   2.507695E+03   -2.963274E+02   -1.1817E+00
  10.500   2.368096E+03   -2.630493E+02   -1.1663E+00
  11.000   2.243767E+03   -2.350753E+02   -1.1524E+00
  11.500   2.132291E+03   -2.114555E+02   -1.1404E+00
  12.000   2.031747E+03   -1.912409E+02   -1.1295E+00
  12.500   1.940572E+03   -1.738784E+02   -1.1200E+00
  13.000   1.857491E+03   -1.587971E+02   -1.1114E+00
  13.500   1.781449E+03   -1.456581E+02   -1.1038E+00
  14.000   1.711570E+03   -1.341035E+02   -1.0969E+00
  14.500   1.647116E+03   -1.239156E+02   -1.0909E+00
  15.000   1.587466E+03   -1.148619E+02   -1.0853E+00
  15.500   1.532089E+03   -1.067978E+02   -1.0805E+00
  16.000   1.480530E+03   -9.956703E+01   -1.0760E+00
  16.500   1.432399E+03   -9.306999E+01   -1.0721E+00
  17.000   1.387356E+03   -8.719935E+01   -1.0685E+00
  17.500   1.345106E+03   -8.188435E+01   -1.0653E+00
  18.000   1.305392E+03   -7.704938E+01   -1.0624E+00
  18.500   1.267985E+03   -7.264308E+01   -1.0599E+00
  19.000   1.232687E+03   -6.861112E+01   -1.0575E+00
  19.500   1.199318E+03   -6.491518E+01   -1.0555E+00
  20.000   1.167722E+03   -6.151529E+01   -1.0536E+00
  21.000   1.109300E+03   -5.548888E+01   -1.0505E+00
  22.000   1.056457E+03   -5.032290E+01   -1.0479E+00
  23.000   1.008420E+03   -4.585725E+01   -1.0459E+00
  24.000   9.645532E+02   -4.196389E+01   -1.0441E+00
  25.000   9.243310E+02   -3.855478E+01   -1.0428E+00
  26.000   8.873054E+02   -3.556130E+01   -1.0420E+00
  27.000   8.530935E+02   -3.291244E+01   -1.0417E+00
  28.000   8.213864E+02   -3.054585E+01   -1.0413E+00
  29.000   7.919206E+02   -2.842372E+01   -1.0409E+00
  30.000   7.644673E+02   -2.651561E+01   -1.0406E+00
  31.000   7.388284E+02   -2.479121E+01   -1.0402E+00
  32.000   7.148306E+02   -2.322932E+01   -1.0399E+00
  33.000   6.923226E+02   -2.180915E+01   -1.0395E+00
  34.000   6.711698E+02   -2.051575E+01   -1.0393E+00
  35.000   6.512548E+02   -1.933167E+01   -1.0389E+00
  36.000   6.324733E+02   -1.824709E+01   -1.0386E+00
  37.000   6.147305E+02   -1.725230E+01   -1.0384E+00
  38.000   5.979430E+02   -1.633501E+01   -1.0381E+00
  39.000   5.820369E+02   -1.548866E+01   -1.0378E+00
  40.000   5.669440E+02   -1.470694E+01   -1.0376E+00
  42.000   5.389631E+02   -1.330873E+01   -1.0371E+00
  44.000   5.135822E+02   -1.210040E+01   -1.0367E+00
  46.000   4.904572E+02   -1.104856E+01   -1.0362E+00
  48.000   4.693018E+02   -1.012670E+01   -1.0358E+00
  50.000   4.498765E+02   -9.315497E+00   -1.0353E+00
  52.000   4.319777E+02   -8.597279E+00   -1.0349E+00
  54.000   4.154351E+02   -7.957601E+00   -1.0344E+00
  56.000   4.001008E+02   -7.387467E+00   -1.0340E+00
  58.000   3.858467E+02   -6.875621E+00   -1.0335E+00
  60.000   3.725643E+02   -6.414909E+00   -1.0331E+00
  65.000   3.430083E+02   -5.446733E+00   -1.0322E+00
  70.000   3.177581E+02   -4.682128E+00   -1.0314E+00
  75.000   2.959363E+02   -4.068128E+00   -1.0310E+00
  77.350   2.866714E+02   -3.820705E+00   -1.0309E+00
  80.000   2.768874E+02   -3.567857E+00   -1.0308E+00
  85.000   2.601122E+02   -3.154949E+00   -1.0310E+00
  90.000   2.452244E+02   -2.810186E+00   -1.0314E+00
  95.000   2.319206E+02   -2.519293E+00   -1.0320E+00
 100.000   2.199596E+02   -2.271546E+00   -1.0327E+00
 105.000   2.091474E+02   -2.058465E+00   -1.0334E+00
 110.000   1.993273E+02   -1.873979E+00   -1.0342E+00
 115.000   1.903677E+02   -1.713376E+00   -1.0350E+00
 120.000   1.821606E+02   -1.572551E+00   -1.0359E+00
 125.000   1.746144E+02   -1.448389E+00   -1.0368E+00
 130.000   1.676536E+02   -1.338132E+00   -1.0376E+00
 135.000   1.612132E+02   -1.239841E+00   -1.0382E+00
 140.000   1.552381E+02   -1.151790E+00   -1.0387E+00
 145.000   1.496804E+02   -1.072633E+00   -1.0391E+00
 150.000   1.444990E+02   -1.001162E+00   -1.0393E+00
 155.000   1.396576E+02   -9.364366E-01   -1.0393E+00
 160.000   1.351248E+02   -8.776051E-01   -1.0392E+00
 165.000   1.308728E+02   -8.239898E-01   -1.0389E+00
 170.000   1.268772E+02   -7.749703E-01   -1.0384E+00
 175.000   1.231163E+02   -7.300489E-01   -1.0377E+00
 180.000   1.195707E+02   -6.887668E-01   -1.0369E+00
 185.000   1.162232E+02   -6.507514E-01   -1.0358E+00
 190.000   1.130583E+02   -6.156569E-01   -1.0346E+00
 195.000   1.100622E+02   -5.832005E-01   -1.0333E+00
 200.000   1.072223E+02   -5.531178E-01   -1.0317E+00
 205.000   1.045274E+02   -5.251901E-01   -1.0300E+00
 210.000   1.019672E+02   -4.992129E-01   -1.0281E+00
 215.000   9.953233E+01   -4.750151E-01   -1.0261E+00
 220.000   9.721435E+01   -4.524359E-01   -1.0239E+00
 225.000   9.500550E+01   -4.313400E-01   -1.0215E+00
 230.000   9.289869E+01   -4.115997E-01   -1.0190E+00
 235.000   9.088742E+01   -3.931063E-01   -1.0164E+00
 240.000   8.896572E+01   -3.757574E-01   -1.0137E+00
 245.000   8.712808E+01   -3.594651E-01   -1.0108E+00
 250.000   8.536945E+01   -3.441459E-01   -1.0078E+00
 255.000   8.368512E+01   -3.297281E-01   -1.0047E+00
 260.000   8.207078E+01   -3.161434E-01   -1.0015E+00
 265.000   8.052240E+01   -3.033325E-01   -9.9827E-01
 270.000   7.903626E+01   -2.912388E-01   -9.9492E-01
 273.150   7.813038E+01   -2.839664E-01   -9.9277E-01
 275.000   7.760890E+01   -2.798132E-01   -9.9149E-01
 280.000   7.623709E+01   -2.690084E-01   -9.8800E-01
 285.000   7.491785E+01   -2.587831E-01   -9.8445E-01
 290.000   7.364836E+01   -2.490978E-01   -9.8085E-01
 295.000   7.242603E+01   -2.399176E-01   -9.7721E-01
 300.000   7.124840E+01   -2.312091E-01   -9.7353E-01
 305.000   7.011320E+01   -2.229426E-01   -9.6982E-01
 310.000   6.901828E+01   -2.150895E-01   -9.6609E-01
 315.000   6.796165E+01   -2.076252E-01   -9.6234E-01
 320.000   6.694143E+01   -2.005249E-01   -9.5857E-01
 325.000   6.595584E+01   -1.937664E-01   -9.5479E-01
